ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_ID,Map_Name
252,Northern Yokuts,,,,yoku1256,traditional,haynie2019modern,features,Fig. 1
253,Northern Yukian,,,,yuki1243,traditional,haynie2019modern,features,Fig. 1
254,Nottoway,,,,nott1246,traditional,haynie2019modern,features,Fig. 1
255,Nuu-chah-nulth,,,,nuuc1236,traditional,haynie2019modern,features,Fig. 1
256,Oaxaca Mixe,,,,oaxa1241,traditional,haynie2019modern,features,Fig. 1
257,Obispeño,,,,obis1242,traditional,haynie2019modern,features,Fig. 1
258,Ofo,,,,ofoo1242,traditional,haynie2019modern,features,Fig. 1
259,Okanagan,,,,okan1243,traditional,haynie2019modern,features,Fig. 1
260,Oluta Popoluca,,,,olut1240,traditional,haynie2019modern,features,Fig. 1
261,"Omaha-Ponca",,,,omah1247,traditional,haynie2019modern,features,Fig. 1
262,Oneida,,,,onei1249,traditional,haynie2019modern,features,Fig. 1
263,Onondaga,,,,onon1246,traditional,haynie2019modern,features,Fig. 1
264,Opata,,,,opat1246,traditional,haynie2019modern,features,Fig. 1
265,Opelousa,,,,,traditional,haynie2019modern,features,Fig. 1
266,Osage,,,,osag1243,traditional,haynie2019modern,features,Fig. 1
267,Otomian,,,,otom1297,traditional,haynie2019modern,features,Fig. 1
268,Ottawa,,,,otta1242,traditional,haynie2019modern,features,Fig. 1
269,Pacific Gulf Yupik,,,,paci1278,traditional,haynie2019modern,features,Fig. 1
270,Paipai,,,,paip1241,traditional,haynie2019modern,features,Fig. 1
271,Pakana,,,,,traditional,haynie2019modern,features,Fig. 1
272,Palewyami Yokuts,,,,pale1254,traditional,haynie2019modern,features,Fig. 1
273,Pame,,,,nort2984,traditional,haynie2019modern,features,Fig. 1
274,Panamint,,,,pana1305,traditional,haynie2019modern,features,Fig. 1
275,Patwin,,,,patw1250,traditional,haynie2019modern,features,Fig. 1
276,Pawnee,,,,pawn1254,traditional,haynie2019modern,features,Fig. 1
277,Pech,,,,pech1241,traditional,haynie2019modern,features,Fig. 1
278,Pensacola,,,,,traditional,haynie2019modern,features,Fig. 1
279,Pentlach,,,,pent1242,traditional,haynie2019modern,features,Fig. 1
280,Pericú,,,,peri1250,traditional,haynie2019modern,features,Fig. 1
281,Pima Bajo,,,,pima1248,traditional,haynie2019modern,features,Fig. 1
